ADRES,NAZWA,TYP,ROZMIAR,LICZBA,FORMULA,FORMULA1,OPIS,OPIS1,SLOWNIK,REGWYM,WYMOG,UWAGI,POLECENIE,POLECENIE1,WYST,DT_DOD
JPK_V7K_3\4.Ewidencja\3.ZakupWiersz\03.NrDostawcy\,.,N,11,,"IIF(!EMPTY(DK->NIPBK),DK->KK+DK->NIPBK,""BRAK"")",,"Numer, za pomoc¥ kt¢rego dostawca lub usˆugodawca jest zidentyfikowany na potrzeby podatku lub podatku od warto˜ci dodanej (wyˆ¥cznie kod cyfrowo-literowy). Podaje si© numer, za pomoc¥ kt¢rego dostawca lub usˆugodawca (kontrahent) jest zidentyfikowany na","potrzeby podatku lub podatku od warto˜ci dodanej bez literowego kodu kraju. Przykˆad dla kontrahenta z Austrii: U99999999 W przypadku faktur VAT-RR wykazuje si© NIP lub PESEL dostawcy towar¢w lub usˆugodawcy. W przypadku braku - w polu tym nale¾y wpisa† """,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\3.ZakupWiersz\04.NazwaDostawcy\,.,Z,64,,"trim(DK->NAZWA)+"" ""+trim(DK->NAZWA_CD)",,"Imi© i nazwisko lub nazwa dostawcy lub usˆugodawcy. Podaje si© imi© i nazwisko lub nazw© dostawcy lub usˆugodawcy z faktur i dokument¢w lub imi© i nazwisko lub nazw© nadawcy lub eksportera z dokument¢w celnych lub decyzji, o kt¢rych mowa w art. 33 ust. 2","i 3 oraz art. 34 ustawy i deklaracji importowej, o kt¢rej mowa w art. 33b ustawy. W przypadku braku - w polu tym nale¾y wpisa† ""BRAK"".",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\3.ZakupWiersz\05.DowodZakupu\,.,Z,32,,RV->NDK,,"Numer dowodu zakupu.
38
Podaje si© numer dokumentu, odpowiednio faktury lub faktury koryguj¥cej, dokumentu, numer zgˆoszenia celnego, rozliczenia zamkni©cia, deklaracji importowej lub decyzji.",,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\3.ZakupWiersz\06.DataZakupu\,.,D,10,,"iif(!empty(ctod(KD->D_WYST)),KD->D_WYST,KD->DATA)",,"Data wystawienia dowodu zakupu. Podaje si© dat© wystawienia dokumentu, odpowiednio faktury lub faktury koryguj¥cej, dokumentu, zgˆoszenia celnego, rozliczenia zamkni©cia, deklaracji importowej lub decyzji.",,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\3.ZakupWiersz\07.DataWplywu\,.,D,10,,"iif(!empty(ctod(KD->D_OTRZ)),KD->D_OTRZ,KD->DATA)",,"Data wpˆywu dowodu zakupu (pole opcjonalne). Podaje si© dat© wpˆywu dowodu zakupu, o ile jest inna ni¾ DataZakupu. W przypadku to¾samej daty zakupu i daty wpˆywu - pole pozostaje puste.",,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\3.ZakupWiersz\08.NrKSeF\,.,Z,35,,"iif(len(trim(RV->KSEF))<5,.F.,RV->KSEF)",,Numer identyfikuj¥cy faktur© w Krajowym Systemie e-Faktur,,,,,,,,,2026.02.24 00:00:00
JPK_V7K_3\4.Ewidencja\3.ZakupWiersz\09.BFK\,.,N,1,,"iif(len(trim(RV->KSEF))<5.and.RV->KSEF<>""DI"".and.RV->KSEF<>""OFF"",1,.F.)",,Faktura elektroniczna lub faktura w postaci papierowej,,,,,,,,,2026.02.24 00:00:00
JPK_V7K_3\4.Ewidencja\3.ZakupWiersz\10.DI\,.,N,1,,"iif(trim(RV->KSEF)==""DI"",1,.F.)",,Dow¢d inny ni¾ faktura,,,,,,,,,2026.02.24 00:00:00
JPK_V7K_3\4.Ewidencja\3.ZakupWiersz\11.OFF\,.,N,1,,"iif(trim(RV->KSEF)==""OFF"",1,.F.)",,"Faktura, o kt¢rej mowa w art. 106nf ust. 1 ustawy, kt¢ra na dzieä zˆo¾enia ewidencji nie posiada numeru identyfikuj¥cego t© faktur© w Krajowym Systemie e-Faktur",,,,,,,,,2026.02.24 00:00:00
JPK_V7K_3\4.Ewidencja\3.ZakupWiersz\08.DokumentZakupu\,.,Z,15,,"iif(RV->MP,""MK"",.F.)",,"Oznaczenie dowodu zakupu (pole opcjonalne). Wykazuje si© przez wyb¢r odpowiedniego oznaczenia dowodu, w przypadku wyst¥pienia w danym okresie rozliczeniowym okre˜lonego dowodu zakupu: . MK - w przypadku faktury wystawionej przez podatnika b©d¥cego dostawc","¥ lub usˆugodawc¥, kt¢ry wybraˆ metod© kasow¥ rozliczeä okre˜lon¥ w art. 21 ustawy; . VAT_RR - w przypadku faktury VAT RR, o kt¢rej mowa w art. 116 ustawy; . WEW - w przypadku dokumentu wewn©trznego, przykˆad: dokonanie rocznej korekty podatku naliczonego",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\3.ZakupWiersz\09.MPP\,.,N,1,,"iif(RVJ(RV->NR_DOK,'MPP'),1,.F.)",,"Transakcja obj©ta obowi¥zkiem stosowania mechanizmu podzielonej pˆatno˜ci (pole opcjonalne). Podaje si© ""1"" w przypadku wyst¥pienia oznaczenia. W przeciwnym przypadku - pole pozostaje puste. Oznaczenie MPP nale¾y stosowa† do faktur o kwocie brutto wy¾szej"," ni¾ 15 000,00 zˆ, kt¢re dokumentuj¥ dostaw© towar¢w lub ˜wiadczenie usˆug wymienionych w zaˆ¥czniku nr 15 do ustawy. WA½NE W przypadku gdy nabywca otrzyma faktur©, kt¢ra dokumentuje nabycie towar¢w lub usˆug wymienionych w zaˆ¥czniku nr 15 do
39
ustawy",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\3.ZakupWiersz\10.IMP\,.,N,1,,"iif(RVJ(RV->NR_DOK,'IMP'),1,.F.)",,"Oznaczenie dotycz¥ce podatku naliczonego z tytuˆu importu towar¢w, w tym importu towar¢w rozliczanego zgodnie z art. 33a ustawy (pole opcjonalne). Podaje si© ""1"" w przypadku wyst¥pienia oznaczenia. W przeciwnym przypadku - pole pozostaje puste.",,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\3.ZakupWiersz\K_40\,.,N,12.2,,"iif(RVN(RV->NR_DOK,'Z','D')<>0,RVN(RV->NR_DOK,'Z','D'),.F.)",,Warto˜† netto wynikaj¥ca z nabycia towar¢w i usˆug zaliczanych u podatnika do ˜rodk¢w trwaˆych (pole opcjonalne). Podaje si© warto˜† netto wynikaj¥c¥ z nabycia towar¢w i usˆug zaliczanych u podatnika do ˜rodk¢w trwaˆych. W przypadku braku - pole pozostaje, puste.,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\3.ZakupWiersz\K_41\,.,N,12.2,,"iif(RVV(RV->NR_DOK,'Z','D')<>0,RVV(RV->NR_DOK,'Z','D'),.F.)",,"Wysoko˜† podatku naliczonego przysˆuguj¥cego do odliczenia z podstaw okre˜lonych w art. 86 ust. 2 ustawy, na warunkach okre˜lonych w ustawie, wynikaj¥ca z nabycia towar¢w i usˆug zaliczanych u podatnika do ˜rodk¢w trwaˆych (pole opcjonalne). Podaje si© wy","soko˜† podatku naliczonego przysˆuguj¥cego do odliczenia z podstaw okre˜lonych w art. 86 ust. 2 ustawy, na warunkach okre˜lonych w ustawie, wynikaj¥c¥ z nabycia towar¢w i usˆug zaliczanych u podatnika do ˜rodk¢w trwaˆych.
41
W przypadku braku - pole poz",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\3.ZakupWiersz\K_42\,.,N,12.2,,"iif(RVN(RV->NR_DOK,'Z','?')-RVN(RV->NR_DOK,'Z','D')<>0,RVN(RV->NR_DOK,'Z','?')-RVN(RV->NR_DOK,'Z','D'),.F.)",,Warto˜† netto wynikaj¥ca z nabycia pozostaˆych towar¢w i usˆug (pole opcjonalne). Podaje si© warto˜† netto wynikaj¥c¥ z nabycia pozostaˆych towar¢w i usˆug. W przypadku braku - pole pozostaje puste.,,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\3.ZakupWiersz\K_43\,.,N,12.2,,"iif(RVV(RV->NR_DOK,'Z','?')-RVV(RV->NR_DOK,'Z','D')<>0,RVV(RV->NR_DOK,'Z','?')-RVV(RV->NR_DOK,'Z','D'),'0')",,"Wysoko˜† podatku naliczonego przysˆuguj¥cego do odliczenia z podstaw okre˜lonych w art. 86 ust. 2 ustawy, na warunkach okre˜lonych w ustawie, wynikaj¥ca z nabycia pozostaˆych towar¢w i usˆug (pole opcjonalne). Podaje si© wysoko˜† podatku naliczonego przys","ˆuguj¥cego do odliczenia z podstaw okre˜lonych w art. 86 ust. 2 ustawy, na warunkach okre˜lonych w ustawie wynikaj¥c¥, z nabycia pozostaˆych towar¢w i usˆug. W przypadku braku - pole pozostaje puste.",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\3.ZakupWiersz\K_44\,.,N,12.2,,.F.,,"Wysoko˜† podatku naliczonego wynikaj¥ca z korekt podatku naliczonego, o kt¢rych mowa w art. 90a-90c oraz art. 91 ustawy, z tytuˆu nabycia towar¢w i usˆug zaliczanych u podatnika do ˜rodk¢w trwaˆych (pole opcjonalne). Podaje si© zbiorcz¥ wysoko˜† podatku n","aliczonego wynikaj¥c¥ z korekt podatku naliczonego, o kt¢rych mowa w art. 90a-90c oraz art. 91 ustawy, z tytuˆu nabycia towar¢w i usˆug zaliczanych u podatnika do ˜rodk¢w trwaˆych. W przypadku braku - pole pozostaje puste.",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\3.ZakupWiersz\K_45\,.,N,12.2,,.F.,,"Wysoko˜† podatku naliczonego wynikaj¥ca z korekt podatku naliczonego, o kt¢rych mowa w art. 90a-90c oraz art. 91 ustawy, z tytuˆu nabycia pozostaˆych towar¢w i usˆug (pole opcjonalne). Podaje si© zbiorcz¥ wysoko˜† podatku naliczonego wynikaj¥c¥ z korekt p","odatku naliczonego, o kt¢rych mowa w art. 90a-90c oraz art. 91 ustawy, z tytuˆu nabycia pozostaˆych towar¢w i usˆug. W przypadku braku - pole pozostaje puste.",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\3.ZakupWiersz\K_46\,.,N,12.2,,.F.,,"Wysoko˜† podatku naliczonego wynikaj¥ca z korekty podatku naliczonego, o kt¢rej mowa w art. 89b ust. 1 ustawy (pole opcjonalne)
42
Podaje si© wysoko˜† podatku naliczonego wynikaj¥c¥ z korekty podatku naliczonego, o kt¢rej mowa w art. 89b ust. 1 ustawy.","Korekt© podatku naliczonego ujmuje si© pojedynczo, podaj¥c wszystkie elementy wymagane dla faktur dokumentuj¥cych dostawy towar¢w lub ˜wiadczenie usˆug ze znakiem ""in minus"". W przypadku braku - pole pozostaje puste.",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\3.ZakupWiersz\K_47\,.,N,12.2,,.F.,,"Wysoko˜† podatku naliczonego wynikaj¥ca z korekty podatku naliczonego, o kt¢rej mowa w art. 89b ust. 4 ustawy (pole opcjonalne). Podaje si© wysoko˜† podatku naliczonego wynikaj¥c¥ z korekty podatku naliczonego, o kt¢rej mowa w art. 89b ust. 4 ustawy. Kore","kt© podatku naliczonego ujmuje si© pojedynczo, podaj¥c wszystkie elementy wymagane dla faktur dokumentuj¥cych dostawy towar¢w lub ˜wiadczenie usˆug ze znakiem ""in plus"". W przypadku braku - pole pozostaje puste.",,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\3.ZakupWiersz\ZakupVAT_Marza\,.,N,12.2,,"iif(RV->MARZA,RV->NETTO+RV->VAT,.F.)",,"Kwota nabycia towar¢w i usˆug nabytych od innych podatnik¢w dla bezpo˜redniej korzy˜ci turysty oraz towar¢w u¾ywanych, dzieˆ sztuki, przedmiot¢w kolekcjonerskich i antyk¢w zwi¥zanych ze sprzeda¾¥ opodatkowan¥ na zasadach mar¾y zgodnie z art. 120 ustawy (p",ole opcjonalne).,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\4.ZakupCtrl\,.,,,,,,Sumy kontrolne dla ewidencji zakupu VAT,,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\4.ZakupCtrl\LiczbaWierszyZakupow\,.,Z,6,,"iif(vg('LpZak')>0,vg('LpZak'),'0')",,"Liczba wierszy ewidencji zakupu w okresie, kt¢rego dotyczy JPK_VAT. W przypadku wykazania ""zerowej"" cz©˜ci ewidencyjnej wpisa† ""0"".",,,,,,,,,2022.02.09 11:39:10
JPK_V7K_3\4.Ewidencja\4.ZakupCtrl\PodatekNaliczony\,.,Z,12.2,,"iif((PVAT->ZAV+PVAT->ZCV+PVAT->ZUV+PVAT->ZWV)<>0,PVAT->ZAV+PVAT->ZCV+PVAT->ZUV+PVAT->ZWV,'0')",,"Razem wysoko˜† podatku naliczonego do odliczenia - suma kwot z K_41, K_43, K_44, K_45, K_46 i K_47. Je¾eli w ewidencji nie wypeˆniono ¾adnego ze wskazanych element¢w, w¢wczas nale¾y wykaza† ""0.00"".",,,,,,,,,2022.02.09 11:39:10
